Territory	Date	t	N	S(t)	I(t)	R(t)	D(t)
['Sudeste, SP, *']	2020-02-25	0	450000	450000	0	0	0
['Sudeste, SP, *']	2020-02-26	1	450000	449997	3	0	0
['Sudeste, SP, *']	2020-02-27	2	450000	449997	3	0	0
['Sudeste, SP, *']	2020-02-28	3	450000	449997	3	0	0
['Sudeste, SP, *']	2020-02-29	4	450000	449994	6	0	0
['Sudeste, SP, *']	2020-03-01	5	450000	449994	6	0	0
['Sudeste, SP, *']	2020-03-02	6	450000	449994	6	0	0
['Sudeste, SP, *']	2020-03-03	7	450000	449994	6	0	0
['Sudeste, SP, *']	2020-03-04	8	450000	449991	9	0	0
['Sudeste, SP, *']	2020-03-05	9	450000	449982	18	0	0
['Sudeste, SP, *']	2020-03-06	10	450000	449970	30	0	0
['Sudeste, SP, *']	2020-03-07	11	450000	449961	39	0	0
['Sudeste, SP, *']	2020-03-08	12	450000	449952	48	0	0
['Sudeste, SP, *']	2020-03-09	13	450000	449952	48	0	0
['Sudeste, SP, *']	2020-03-10	14	450000	449943	57	0	0
['Sudeste, SP, *']	2020-03-11	15	450000	449910	88	2	0
['Sudeste, SP, *']	2020-03-12	16	450000	449874	124	2	0
['Sudeste, SP, *']	2020-03-13	17	450000	449832	166	2	0
['Sudeste, SP, *']	2020-03-14	18	450000	449805	191	4	0
['Sudeste, SP, *']	2020-03-15	19	450000	449592	404	4	0
['Sudeste, SP, *']	2020-03-16	20	450000	449544	452	4	0
['Sudeste, SP, *']	2020-03-17	21	450000	449508	485	4	3
['Sudeste, SP, *']	2020-03-18	22	450000	449280	702	6	12
['Sudeste, SP, *']	2020-03-19	23	450000	449142	833	13	12
['Sudeste, SP, *']	2020-03-20	24	450000	448812	1139	22	27
['Sudeste, SP, *']	2020-03-21	25	450000	448623	1303	29	45
['Sudeste, SP, *']	2020-03-22	26	450000	448107	1791	36	66
['Sudeste, SP, *']	2020-03-23	27	450000	447765	2109	36	90
['Sudeste, SP, *']	2020-03-24	28	450000	447570	2267	43	120
['Sudeste, SP, *']	2020-03-25	29	450000	447414	2372	70	144
['Sudeste, SP, *']	2020-03-26	30	450000	446844	2883	99	174
['Sudeste, SP, *']	2020-03-27	31	450000	446331	3332	133	204
['Sudeste, SP, *']	2020-03-28	32	450000	445782	3811	155	252
['Sudeste, SP, *']	2020-03-29	33	450000	445647	3732	327	294
['Sudeste, SP, *']	2020-03-30	34	450000	445449	3847	365	339
['Sudeste, SP, *']	2020-03-31	35	450000	442983	6215	394	408
['Sudeste, SP, *']	2020-04-01	36	450000	441057	7872	579	492
['Sudeste, SP, *']	2020-04-02	37	450000	439482	9262	692	564
