Territory	Date	t	N	S(t)	C(t)	I(t)	R(t)	D(t)
['SP, SP, *']	2021-02-06	347	46289333	42672955	3616378	290912	3217986	107480
['SP, SP, *']	2021-02-07	348	46289333	42652393	3636940	299742	3229267	107931
['SP, SP, *']	2021-02-08	349	46289333	42631806	3657527	305380	3243767	108380
['SP, SP, *']	2021-02-09	350	46289333	42611532	3677801	299558	3269397	108846
['SP, SP, *']	2021-02-10	351	46289333	42591020	3698313	291145	3297832	109336
['SP, SP, *']	2021-02-11	352	46289333	42571298	3718035	282336	3325864	109835
['SP, SP, *']	2021-02-12	353	46289333	42551752	3737581	276179	3351096	110306
['SP, SP, *']	2021-02-13	354	46289333	42532802	3756531	276911	3368844	110776
['SP, SP, *']	2021-02-14	355	46289333	42514441	3774892	284249	3379395	111248
['SP, SP, *']	2021-02-15	356	46289333	42496116	3793217	286735	3394765	111717
['SP, SP, *']	2021-02-16	357	46289333	42478278	3811055	279004	3419873	112178
['SP, SP, *']	2021-02-17	358	46289333	42461161	3828172	269699	3445855	112618
['SP, SP, *']	2021-02-18	359	46289333	42444164	3845169	260921	3471202	113046
['SP, SP, *']	2021-02-19	360	46289333	42427310	3862023	254436	3494104	113483
['SP, SP, *']	2021-02-20	361	46289333	42410164	3879169	254265	3510978	113926
['SP, SP, *']	2021-02-21	362	46289333	42392356	3896977	261754	3520859	114364
['SP, SP, *']	2021-02-22	363	46289333	42374481	3914852	264401	3535648	114803
['SP, SP, *']	2021-02-23	364	46289333	42356440	3932893	258018	3559644	115231
['SP, SP, *']	2021-02-24	365	46289333	42338175	3951158	250489	3584990	115679
['SP, SP, *']	2021-02-25	366	46289333	42319584	3969749	245177	3608426	116146
['SP, SP, *']	2021-02-26	367	46289333	42300852	3988481	242429	3629440	116612
['SP, SP, *']	2021-02-27	368	46289333	42282039	4007294	246759	3643442	117093
['SP, SP, *']	2021-02-28	369	46289333	42263267	4026066	257045	3651444	117577
['SP, SP, *']	2021-03-01	370	46289333	42244346	4044987	262721	3664202	118064
['SP, SP, *']	2021-03-02	371	46289333	42225971	4063362	259603	3685176	118583
['SP, SP, *']	2021-03-03	372	46289333	42207121	4082212	255938	3707162	119112
['SP, SP, *']	2021-03-04	373	46289333	42188172	4101161	252021	3729508	119632
['SP, SP, *']	2021-03-05	374	46289333	42168801	4120532	250173	3750174	120185
['SP, SP, *']	2021-03-06	375	46289333	42148681	4140652	253884	3766015	120753
['SP, SP, *']	2021-03-07	376	46289333	42128078	4161255	264300	3775639	121316
['SP, SP, *']	2021-03-08	377	46289333	42107146	4182187	270817	3789472	121898
['SP, SP, *']	2021-03-09	378	46289333	42084531	4204802	270818	3811490	122494
['SP, SP, *']	2021-03-10	379	46289333	42061404	4227929	270019	3834791	123119
['SP, SP, *']	2021-03-11	380	46289333	42037629	4251704	269982	3857941	123781
['SP, SP, *']	2021-03-12	381	46289333	42013097	4276236	272631	3879119	124486
['SP, SP, *']	2021-03-13	382	46289333	41988113	4301220	281723	3894283	125214
['SP, SP, *']	2021-03-14	383	46289333	41962614	4326719	297153	3903592	125974
['SP, SP, *']	2021-03-15	384	46289333	41936820	4352513	309838	3915947	126728
['SP, SP, *']	2021-03-16	385	46289333	41910561	4378772	314202	3937042	127528
['SP, SP, *']	2021-03-17	386	46289333	41883616	4405717	316493	3960853	128371
['SP, SP, *']	2021-03-18	387	46289333	41855818	4433515	319125	3985114	129276
['SP, SP, *']	2021-03-19	388	46289333	41827176	4462157	323211	4008737	130209
['SP, SP, *']	2021-03-20	389	46289333	41797767	4491566	332937	4027435	131194
['SP, SP, *']	2021-03-21	390	46289333	41768240	4521093	349217	4039701	132175
['SP, SP, *']	2021-03-22	391	46289333	41738852	4550481	360232	4057109	133140
['SP, SP, *']	2021-03-23	392	46289333	41708533	4580800	363036	4083561	134203
['SP, SP, *']	2021-03-24	393	46289333	41677513	4611820	365064	4111586	135170
['SP, SP, *']	2021-03-25	394	46289333	41646220	4643113	367257	4139736	136120
['SP, SP, *']	2021-03-26	395	46289333	41614123	4675210	371386	4166590	137234
['SP, SP, *']	2021-03-27	396	46289333	41581998	4707335	381121	4187742	138472
['SP, SP, *']	2021-03-28	397	46289333	41549491	4739842	397782	4202321	139739
['SP, SP, *']	2021-03-29	398	46289333	41516857	4772476	409975	4221425	141076
['SP, SP, *']	2021-03-30	399	46289333	41484104	4805229	411880	4250882	142467
['SP, SP, *']	2021-03-31	400	46289333	41450558	4838775	412345	4282321	144109
['SP, SP, *']	2021-04-01	401	46289333	41414692	4874641	414488	4314264	145889
['SP, SP, *']	2021-04-02	402	46289333	41380177	4909156	415608	4345986	147562
['SP, SP, *']	2021-04-03	403	46289333	41348832	4940501	421059	4370451	148991
['SP, SP, *']	2021-04-04	404	46289333	41318175	4971158	434526	4386204	150428
['SP, SP, *']	2021-04-05	405	46289333	41287682	5001651	441936	4407892	151823
['SP, SP, *']	2021-04-06	406	46289333	41256779	5032554	436903	4442382	153269
['SP, SP, *']	2021-04-07	407	46289333	41226347	5062986	429826	4478522	154638
['SP, SP, *']	2021-04-08	408	46289333	41197504	5091829	421353	4514407	156069
['SP, SP, *']	2021-04-09	409	46289333	41167536	5121797	415078	4549165	157554
['SP, SP, *']	2021-04-10	410	46289333	41134629	5154704	420369	4575165	159170
['SP, SP, *']	2021-04-11	411	46289333	41101448	5187885	434483	4592547	160855
['SP, SP, *']	2021-04-12	412	46289333	41068077	5221256	443072	4615634	162550
['SP, SP, *']	2021-04-13	413	46289333	41035963	5253370	435998	4653157	164215
['SP, SP, *']	2021-04-14	414	46289333	41004629	5284704	422669	4696097	165938
['SP, SP, *']	2021-04-15	415	46289333	40974134	5315199	411785	4735821	167593
['SP, SP, *']	2021-04-16	416	46289333	40944417	5344916	413413	4762317	169186
['SP, SP, *']	2021-04-17	417	46289333	40914576	5374757	425618	4778327	170812
['SP, SP, *']	2021-04-18	418	46289333	40885238	5404095	439357	4792374	172364
['SP, SP, *']	2021-04-19	419	46289333	40856251	5433082	443146	4816021	173915
['SP, SP, *']	2021-04-20	420	46289333	40827074	5462259	432636	4854202	175421
['SP, SP, *']	2021-04-21	421	46289333	40798373	5490960	420321	4893746	176893
['SP, SP, *']	2021-04-22	422	46289333	40772758	5516575	404976	4933485	178114
['SP, SP, *']	2021-04-23	423	46289333	40747191	5542142	393362	4969424	179356
['SP, SP, *']	2021-04-24	424	46289333	40724370	5564963	389079	4995381	180503
['SP, SP, *']	2021-04-25	425	46289333	40699197	5590136	395898	5012494	181744
['SP, SP, *']	2021-04-26	426	46289333	40674073	5615260	397839	5034457	182964
['SP, SP, *']	2021-04-27	427	46289333	40649254	5640079	387298	5068619	184162
['SP, SP, *']	2021-04-28	428	46289333	40624467	5664866	374401	5105152	185313
['SP, SP, *']	2021-04-29	429	46289333	40597493	5691840	364399	5140779	186662
['SP, SP, *']	2021-04-30	430	46289333	40571165	5718168	357817	5172398	187953
['SP, SP, *']	2021-05-01	431	46289333	40545114	5744219	359574	5195419	189226
['SP, SP, *']	2021-05-02	432	46289333	40519672	5769661	368969	5210219	190473
['SP, SP, *']	2021-05-03	433	46289333	40494448	5794885	372325	5230837	191723
['SP, SP, *']	2021-05-04	434	46289333	40469947	5819386	363345	5263124	192917
['SP, SP, *']	2021-05-05	435	46289333	40446241	5843092	357463	5291554	194075
['SP, SP, *']	2021-05-06	436	46289333	40422949	5866384	353303	5317899	195182
['SP, SP, *']	2021-05-07	437	46289333	40399957	5889376	348682	5344427	196267
['SP, SP, *']	2021-05-08	438	46289333	40375270	5914063	350083	5366546	197434
['SP, SP, *']	2021-05-09	439	46289333	40352499	5936834	352149	5386182	198503
['SP, SP, *']	2021-05-10	440	46289333	40329718	5959615	352149	5407911	199555
['SP, SP, *']	2021-05-11	441	46289333	40306693	5982640	342293	5439752	200595
['SP, SP, *']	2021-05-12	442	46289333	40283256	6006077	332709	5471731	201637
['SP, SP, *']	2021-05-13	443	46289333	40259196	6030137	325718	5501774	202645
['SP, SP, *']	2021-05-14	444	46289333	40234733	6054600	324280	5526674	203646
['SP, SP, *']	2021-05-15	445	46289333	40209588	6079745	329226	5545917	204602
['SP, SP, *']	2021-05-16	446	46289333	40185017	6104316	336211	5562558	205547
['SP, SP, *']	2021-05-17	447	46289333	40159133	6130200	342251	5581419	206530
['SP, SP, *']	2021-05-18	448	46289333	40133403	6155930	339725	5608691	207514
['SP, SP, *']	2021-05-19	449	46289333	40107354	6181979	337820	5635646	208513
['SP, SP, *']	2021-05-20	450	46289333	40080651	6208682	336467	5662701	209514
['SP, SP, *']	2021-05-21	451	46289333	40053778	6235555	336294	5688740	210521
['SP, SP, *']	2021-05-22	452	46289333	40026548	6262785	343314	5707949	211522
['SP, SP, *']	2021-05-23	453	46289333	39998251	6291082	357046	5721512	212524
['SP, SP, *']	2021-05-24	454	46289333	39970856	6318477	365840	5739147	213490
['SP, SP, *']	2021-05-25	455	46289333	39942976	6346357	363838	5768038	214481
['SP, SP, *']	2021-05-26	456	46289333	39915129	6374204	360151	5798604	215449
['SP, SP, *']	2021-05-27	457	46289333	39888755	6400578	355234	5828920	216424
['SP, SP, *']	2021-05-28	458	46289333	39866646	6422687	348146	5857107	217434
['SP, SP, *']	2021-05-29	459	46289333	39845418	6443915	348278	5877167	218470
['SP, SP, *']	2021-05-30	460	46289333	39823182	6466151	354795	5891832	219524
['SP, SP, *']	2021-05-31	461	46289333	39800520	6488813	356335	5911898	220580
['SP, SP, *']	2021-06-01	462	46289333	39780071	6509262	346459	5941304	221499
['SP, SP, *']	2021-06-02	463	46289333	39754998	6534335	338566	5973217	222552
['SP, SP, *']	2021-06-03	464	46289333	39727939	6561394	332993	6004823	223578
['SP, SP, *']	2021-06-04	465	46289333	39700218	6589115	329099	6035603	224413
['SP, SP, *']	2021-06-05	466	46289333	39671559	6617774	333956	6058528	225290
['SP, SP, *']	2021-06-06	467	46289333	39643208	6646125	345977	6073972	226176
['SP, SP, *']	2021-06-07	468	46289333	39615153	6674180	353502	6093597	227081
['SP, SP, *']	2021-06-08	469	46289333	39587587	6701746	350166	6123494	228086
['SP, SP, *']	2021-06-09	470	46289333	39568211	6721122	340522	6151647	228953
['SP, SP, *']	2021-06-10	471	46289333	39547892	6741441	340722	6170837	229882
['SP, SP, *']	2021-06-11	472	46289333	39522151	6767182	348365	6187829	230988
['SP, SP, *']	2021-06-12	473	46289333	39495186	6794147	353981	6208122	232044
['SP, SP, *']	2021-06-13	474	46289333	39468418	6820915	362043	6225766	233106
['SP, SP, *']	2021-06-14	475	46289333	39442341	6846992	368087	6244763	234142
['SP, SP, *']	2021-06-15	476	46289333	39411161	6878172	364013	6278931	235228
['SP, SP, *']	2021-06-16	477	46289333	39374727	6914606	355806	6322445	236355
['SP, SP, *']	2021-06-17	478	46289333	39342723	6946610	357295	6351954	237361
['SP, SP, *']	2021-06-18	479	46289333	39307188	6982145	369755	6373916	238474
['SP, SP, *']	2021-06-19	480	46289333	39271864	7017469	380738	6397093	239638
['SP, SP, *']	2021-06-20	481	46289333	39236452	7052881	398337	6413752	240792
['SP, SP, *']	2021-06-21	482	46289333	39200411	7088922	419471	6427490	241961
['SP, SP, *']	2021-06-22	483	46289333	39165166	7124167	436971	6444095	243101
['SP, SP, *']	2021-06-23	484	46289333	39130799	7158534	446237	6468076	244221
['SP, SP, *']	2021-06-24	485	46289333	39093454	7195879	445427	6504976	245476
['SP, SP, *']	2021-06-25	486	46289333	39060177	7229156	439993	6542504	246659
['SP, SP, *']	2021-06-26	487	46289333	39027343	7261990	442356	6571845	247789
['SP, SP, *']	2021-06-27	488	46289333	38994971	7294362	456677	6588785	248900
['SP, SP, *']	2021-06-28	489	46289333	38962762	7326571	463507	6613063	250001
['SP, SP, *']	2021-06-29	490	46289333	38934408	7354925	450598	6653348	250979
['SP, SP, *']	2021-06-30	491	46289333	38906666	7382667	441051	6689535	252081
['SP, SP, *']	2021-07-01	492	46289333	38879498	7409835	430258	6726434	253143
['SP, SP, *']	2021-07-02	493	46289333	38852766	7436567	410668	6771744	254155
['SP, SP, *']	2021-07-03	494	46289333	38826686	7462647	403957	6803524	255166
['SP, SP, *']	2021-07-04	495	46289333	38801039	7488294	410148	6821963	256183
['SP, SP, *']	2021-07-05	496	46289333	38775407	7513926	411638	6845087	257201
['SP, SP, *']	2021-07-06	497	46289333	38747053	7542280	404668	6879307	258305
['SP, SP, *']	2021-07-07	498	46289333	38719406	7569927	396397	6914295	259235
['SP, SP, *']	2021-07-08	499	46289333	38692185	7597148	384904	6952107	260137
['SP, SP, *']	2021-07-09	500	46289333	38666323	7623010	374163	6987842	261005
['SP, SP, *']	2021-07-10	501	46289333	38643022	7646311	369127	7015433	261751
['SP, SP, *']	2021-07-11	502	46289333	38620074	7669259	375404	7031381	262474
['SP, SP, *']	2021-07-12	503	46289333	38597889	7691444	379555	7048701	263188
['SP, SP, *']	2021-07-13	504	46289333	38579663	7709670	370713	7075168	263789
['SP, SP, *']	2021-07-14	505	46289333	38563372	7725961	354642	7107011	264308
['SP, SP, *']	2021-07-15	506	46289333	38549468	7739865	332754	7142362	264749
['SP, SP, *']	2021-07-16	507	46289333	38538128	7751205	307941	7178152	265112
['SP, SP, *']	2021-07-17	508	46289333	38528983	7760350	291806	7203099	265445
