Territory	Date	t	N	S(t)	I(t)	R(t)	D(t)
Sudeste, SP, *	2020-04-20	97	45919049	0	14580	4138	1037
Sudeste, SP, *	2020-04-21	98	45919049	0	15385	4914	1093
Sudeste, SP, *	2020-04-22	99	45919049	0	15914	5835	1134
Sudeste, SP, *	2020-04-23	100	45919049	0	16740	6534	1345
Sudeste, SP, *	2020-04-24	101	45919049	0	17826	7206	1512
Sudeste, SP, *	2020-04-25	102	45919049	0	20004	7429	1667
Sudeste, SP, *	2020-04-26	103	45919049	0	20715	7726	1700
Sudeste, SP, *	2020-04-27	104	45919049	0	21696	7874	1825
Sudeste, SP, *	2020-04-28	105	45919049	0	24041	8374	2049
Sudeste, SP, *	2020-04-29	106	45919049	0	26158	9875	2247
Sudeste, SP, *	2020-04-30	107	45919049	0	28698	10410	2375
Sudeste, SP, *	2020-05-01	108	45919049	0	30374	11549	2511
Sudeste, SP, *	2020-05-02	109	45919049	0	31174	12433	2586
Sudeste, SP, *	2020-05-03	110	45919049	0	31772	12790	2627
Sudeste, SP, *	2020-05-04	111	45919049	0	32187	13068	2654
Sudeste, SP, *	2020-05-05	112	45919049	0	34053	13789	2851
Sudeste, SP, *	2020-05-06	113	45919049	0	37853	14454	3045
Sudeste, SP, *	2020-05-07	114	45919049	0	39928	15206	3206
Sudeste, SP, *	2020-05-08	115	45919049	0	41830	16272	3416
Sudeste, SP, *	2020-05-09	116	45919049	0	44411	18192	3608
Sudeste, SP, *	2020-05-10	117	45919049	0	45444	18822	3709
Sudeste, SP, *	2020-05-11	118	45919049	0	46131	19663	3743
Sudeste, SP, *	2020-05-12	119	45919049	0	47719	21716	3949
Sudeste, SP, *	2020-05-13	120	45919049	0	51097	23536	4118
Sudeste, SP, *	2020-05-14	121	45919049	0	54286	25735	4315
Sudeste, SP, *	2020-05-15	122	45919049	0	58378	27271	4501
Sudeste, SP, *	2020-05-16	123	45919049	0	61183	28244	4688
Sudeste, SP, *	2020-05-17	124	45919049	0	62345	28835	4782
Sudeste, SP, *	2020-05-18	125	45919049	0	63066	29320	4823
Sudeste, SP, *	2020-05-19	126	45919049	0	65995	31200	5147
Sudeste, SP, *	2020-05-20	127	45919049	0	69859	34625	5363
Sudeste, SP, *	2020-05-21	128	45919049	0	73739	36699	5558
Sudeste, SP, *	2020-05-22	129	45919049	0	76871	38511	5773
Sudeste, SP, *	2020-05-23	130	45919049	0	80558	40723	6045
Sudeste, SP, *	2020-05-24	131	45919049	0	82161	41660	6163
Sudeste, SP, *	2020-05-25	132	45919049	0	83625	42281	6220
Sudeste, SP, *	2020-05-26	133	45919049	0	86017	43852	6423
Sudeste, SP, *	2020-05-27	134	45919049	0	89483	47203	6712
Sudeste, SP, *	2020-05-28	135	45919049	0	95865	50102	6980
Sudeste, SP, *	2020-05-29	136	45919049	0	101556	53746	7275
Sudeste, SP, *	2020-05-30	137	45919049	0	107142	56432	7532
Sudeste, SP, *	2020-05-31	138	45919049	0	109698	57536	7615
Sudeste, SP, *	2020-06-01	139	45919049	0	111296	58231	7667
Sudeste, SP, *	2020-06-02	140	45919049	0	118295	60866	7994
Sudeste, SP, *	2020-06-03	141	45919049	0	123483	64495	8276
Sudeste, SP, *	2020-06-04	142	45919049	0	129200	68125	8560
Sudeste, SP, *	2020-06-05	143	45919049	0	134565	71289	8842
Sudeste, SP, *	2020-06-06	144	45919049	0	140549	74777	9058
Sudeste, SP, *	2020-06-07	145	45919049	0	143073	76273	9145
