Territory	Date	t	N	∆S(t)	∆I(t)	∆R(t)	∆D(t)
['*, *, *']	2020-04-03	38	1800000	-6504	6504	1075	372
['*, *, *']	2020-04-04	39	1800000	-5016	5016	617	492
['*, *, *']	2020-04-05	40	1800000	-1848	1848	1676	180
['*, *, *']	2020-04-06	41	1800000	-2952	2952	1108	348
['*, *, *']	2020-04-07	42	1800000	-9792	9792	636	804
['*, *, *']	2020-04-08	43	1800000	-12312	12312	524	684
['*, *, *']	2020-04-09	44	1800000	-9264	9264	1866	816
['*, *, *']	2020-04-10	45	1800000	-8832	8832	1685	528
['*, *, *']	2020-04-11	46	1800000	-2436	2436	1794	240
['*, *, *']	2020-04-12	47	1800000	-4032	4032	556	336
['*, *, *']	2020-04-13	48	1800000	-1680	1680	668	240
['*, *, *']	2020-04-14	49	1800000	-5712	5712	8010	1044
['*, *, *']	2020-04-15	50	1800000	-20064	20064	6368	996
['*, *, *']	2020-04-16	51	1800000	-6300	6300	5182	900
['*, *, *']	2020-04-17	52	1800000	-15276	15276	5455	900
['*, *, *']	2020-04-18	53	1800000	-12636	12636	4170	756
['*, *, *']	2020-04-19	54	1800000	-4476	4476	1787	288
['*, *, *']	2020-04-20	55	1800000	-3756	3756	2582	264
['*, *, *']	2020-04-21	56	1800000	-9660	9660	8042	672
['*, *, *']	2020-04-22	57	1800000	-6348	6348	10066	492
['*, *, *']	2020-04-23	58	1800000	-9912	9912	7830	2532
['*, *, *']	2020-04-24	59	1800000	-13032	13032	7449	2004
['*, *, *']	2020-04-25	60	1800000	-26136	26136	2286	1860
['*, *, *']	2020-04-26	61	1800000	-8532	8532	3384	396
['*, *, *']	2020-04-27	62	1800000	-11772	11772	1481	1500
['*, *, *']	2020-04-28	63	1800000	-28140	28140	6014	2688
['*, *, *']	2020-04-29	64	1800000	-25404	25404	17376	2376
['*, *, *']	2020-04-30	65	1800000	-30480	30480	6012	1536
['*, *, *']	2020-05-01	66	1800000	-20112	20112	13350	1632
['*, *, *']	2020-05-02	67	1800000	-9600	9600	10975	900
['*, *, *']	2020-05-03	68	1800000	-7176	7176	3987	492
['*, *, *']	2020-05-04	69	1800000	-4980	4980	3524	324
['*, *, *']	2020-05-05	70	1800000	-22392	22392	9234	2364
['*, *, *']	2020-05-06	71	1800000	-45600	45600	6896	2328
['*, *, *']	2020-05-07	72	1800000	-24900	24900	9439	1932
['*, *, *']	2020-05-08	73	1800000	-22824	22824	11895	2520
['*, *, *']	2020-05-09	74	1800000	-30972	30972	21621	2304
['*, *, *']	2020-05-10	75	1800000	-12396	12396	7502	1212
['*, *, *']	2020-05-11	76	1800000	-8244	8244	9810	408
['*, *, *']	2020-05-12	77	1800000	-19056	19056	24086	2472
['*, *, *']	2020-05-13	78	1800000	-40536	40536	23771	2028
['*, *, *']	2020-05-14	79	1800000	-38268	38268	25885	2364
['*, *, *']	2020-05-15	80	1800000	-49104	49104	18754	2232
['*, *, *']	2020-05-16	81	1800000	-33660	33660	9795	2244
['*, *, *']	2020-05-17	82	1800000	-13944	13944	6531	1128
['*, *, *']	2020-05-18	83	1800000	-8652	8652	4707	492
['*, *, *']	2020-05-19	84	1800000	-35148	35148	19979	3888
['*, *, *']	2020-05-20	85	1800000	-46368	46368	38440	2592
['*, *, *']	2020-05-21	86	1800000	-46560	46560	22019	2340
['*, *, *']	2020-05-22	87	1800000	-37584	37584	20753	2580
['*, *, *']	2020-05-23	88	1800000	-44244	44244	28868	3264
['*, *, *']	2020-05-24	89	1800000	-19236	19236	11436	1416
['*, *, *']	2020-05-25	90	1800000	-17568	17568	8409	684
['*, *, *']	2020-05-26	91	1800000	-28704	28704	19660	2436
['*, *, *']	2020-05-27	92	1800000	-41592	41592	37393	3468
['*, *, *']	2020-05-28	93	1800000	-76584	76584	35579	3216
['*, *, *']	2020-05-29	94	1800000	-68292	68292	43353	3540
['*, *, *']	2020-05-30	95	1800000	-67032	67032	29240	3084
['*, *, *']	2020-05-31	96	1800000	-30672	30672	12523	996
['*, *, *']	2020-06-01	97	1800000	-19176	19176	7893	624
['*, *, *']	2020-06-02	98	1800000	-83988	83988	32087	3924
['*, *, *']	2020-06-03	99	1800000	-62256	62256	44259	3384
