Territory	Date	t	N	∆S(t)	∆I(t)	∆R(t)	∆D(t)
['*, *, *']	2020-02-25	0	1800000	0	0	0	0
['*, *, *']	2020-02-26	1	1800000	-12	12	0	0
['*, *, *']	2020-02-27	2	1800000	0	0	0	0
['*, *, *']	2020-02-28	3	1800000	0	0	0	0
['*, *, *']	2020-02-29	4	1800000	-12	12	0	0
['*, *, *']	2020-03-01	5	1800000	0	0	0	0
['*, *, *']	2020-03-02	6	1800000	0	0	0	0
['*, *, *']	2020-03-03	7	1800000	0	0	0	0
['*, *, *']	2020-03-04	8	1800000	-12	12	0	0
['*, *, *']	2020-03-05	9	1800000	-36	36	0	0
['*, *, *']	2020-03-06	10	1800000	-48	48	0	0
['*, *, *']	2020-03-07	11	1800000	-36	36	0	0
['*, *, *']	2020-03-08	12	1800000	-36	36	0	0
['*, *, *']	2020-03-09	13	1800000	0	0	0	0
['*, *, *']	2020-03-10	14	1800000	-36	36	0	0
['*, *, *']	2020-03-11	15	1800000	-132	132	9	0
['*, *, *']	2020-03-12	16	1800000	-144	144	0	0
['*, *, *']	2020-03-13	17	1800000	-168	168	0	0
['*, *, *']	2020-03-14	18	1800000	-108	108	9	0
['*, *, *']	2020-03-15	19	1800000	-852	852	0	0
['*, *, *']	2020-03-16	20	1800000	-192	192	0	0
['*, *, *']	2020-03-17	21	1800000	-144	144	0	12
['*, *, *']	2020-03-18	22	1800000	-912	912	9	36
['*, *, *']	2020-03-19	23	1800000	-552	552	29	0
['*, *, *']	2020-03-20	24	1800000	-1320	1320	38	60
['*, *, *']	2020-03-21	25	1800000	-756	756	29	72
['*, *, *']	2020-03-22	26	1800000	-2064	2064	29	84
['*, *, *']	2020-03-23	27	1800000	-1368	1368	0	96
['*, *, *']	2020-03-24	28	1800000	-780	780	29	120
['*, *, *']	2020-03-25	29	1800000	-624	624	108	96
['*, *, *']	2020-03-26	30	1800000	-2280	2280	116	120
['*, *, *']	2020-03-27	31	1800000	-2052	2052	136	120
['*, *, *']	2020-03-28	32	1800000	-2196	2196	89	192
['*, *, *']	2020-03-29	33	1800000	-540	540	690	168
['*, *, *']	2020-03-30	34	1800000	-792	792	155	180
['*, *, *']	2020-03-31	35	1800000	-9864	9864	116	276
['*, *, *']	2020-04-01	36	1800000	-7704	7704	740	336
['*, *, *']	2020-04-02	37	1800000	-6300	6300	452	288
