Territory	Date	t	N	S(t)	I(t)	R(t)	D(t)
['Sudeste, *, *']	2020-02-25	0	900000	900000	0	0	0
['Sudeste, *, *']	2020-02-26	1	900000	899994	6	0	0
['Sudeste, *, *']	2020-02-27	2	900000	899994	6	0	0
['Sudeste, *, *']	2020-02-28	3	900000	899994	6	0	0
['Sudeste, *, *']	2020-02-29	4	900000	899988	12	0	0
['Sudeste, *, *']	2020-03-01	5	900000	899988	12	0	0
['Sudeste, *, *']	2020-03-02	6	900000	899988	12	0	0
['Sudeste, *, *']	2020-03-03	7	900000	899988	12	0	0
['Sudeste, *, *']	2020-03-04	8	900000	899982	18	0	0
['Sudeste, *, *']	2020-03-05	9	900000	899964	36	0	0
['Sudeste, *, *']	2020-03-06	10	900000	899940	60	0	0
['Sudeste, *, *']	2020-03-07	11	900000	899922	78	0	0
['Sudeste, *, *']	2020-03-08	12	900000	899904	96	0	0
['Sudeste, *, *']	2020-03-09	13	900000	899904	96	0	0
['Sudeste, *, *']	2020-03-10	14	900000	899886	114	0	0
['Sudeste, *, *']	2020-03-11	15	900000	899820	176	4	0
['Sudeste, *, *']	2020-03-12	16	900000	899748	248	4	0
['Sudeste, *, *']	2020-03-13	17	900000	899664	332	4	0
['Sudeste, *, *']	2020-03-14	18	900000	899610	382	8	0
['Sudeste, *, *']	2020-03-15	19	900000	899184	808	8	0
['Sudeste, *, *']	2020-03-16	20	900000	899088	904	8	0
['Sudeste, *, *']	2020-03-17	21	900000	899016	970	8	6
['Sudeste, *, *']	2020-03-18	22	900000	898560	1404	12	24
['Sudeste, *, *']	2020-03-19	23	900000	898284	1666	26	24
['Sudeste, *, *']	2020-03-20	24	900000	897624	2277	45	54
['Sudeste, *, *']	2020-03-21	25	900000	897246	2605	59	90
['Sudeste, *, *']	2020-03-22	26	900000	896214	3581	73	132
['Sudeste, *, *']	2020-03-23	27	900000	895530	4217	73	180
['Sudeste, *, *']	2020-03-24	28	900000	895140	4533	87	240
['Sudeste, *, *']	2020-03-25	29	900000	894828	4743	141	288
['Sudeste, *, *']	2020-03-26	30	900000	893688	5765	199	348
['Sudeste, *, *']	2020-03-27	31	900000	892662	6663	267	408
['Sudeste, *, *']	2020-03-28	32	900000	891564	7621	311	504
['Sudeste, *, *']	2020-03-29	33	900000	891294	7462	656	588
['Sudeste, *, *']	2020-03-30	34	900000	890898	7691	733	678
['Sudeste, *, *']	2020-03-31	35	900000	885966	12427	791	816
['Sudeste, *, *']	2020-04-01	36	900000	882114	15741	1161	984
