Territory	Date	t	N	∆S(t)	∆I(t)	∆R(t)	∆D(t)
['Sudeste, *, *']	2020-04-24	59	900000	-6516	6516	3724	1002
['Sudeste, *, *']	2020-04-25	60	900000	-13068	13068	1143	930
['Sudeste, *, *']	2020-04-26	61	900000	-4266	4266	1692	198
['Sudeste, *, *']	2020-04-27	62	900000	-5886	5886	740	750
['Sudeste, *, *']	2020-04-28	63	900000	-14070	14070	3007	1344
['Sudeste, *, *']	2020-04-29	64	900000	-12702	12702	8688	1188
['Sudeste, *, *']	2020-04-30	65	900000	-15240	15240	3006	768
['Sudeste, *, *']	2020-05-01	66	900000	-10056	10056	6675	816
['Sudeste, *, *']	2020-05-02	67	900000	-4800	4800	5487	450
['Sudeste, *, *']	2020-05-03	68	900000	-3588	3588	1993	246
['Sudeste, *, *']	2020-05-04	69	900000	-2490	2490	1762	162
['Sudeste, *, *']	2020-05-05	70	900000	-11196	11196	4617	1182
['Sudeste, *, *']	2020-05-06	71	900000	-22800	22800	3448	1164
['Sudeste, *, *']	2020-05-07	72	900000	-12450	12450	4719	966
['Sudeste, *, *']	2020-05-08	73	900000	-11412	11412	5947	1260
['Sudeste, *, *']	2020-05-09	74	900000	-15486	15486	10810	1152
['Sudeste, *, *']	2020-05-10	75	900000	-6198	6198	3751	606
['Sudeste, *, *']	2020-05-11	76	900000	-4122	4122	4905	204
['Sudeste, *, *']	2020-05-12	77	900000	-9528	9528	12043	1236
['Sudeste, *, *']	2020-05-13	78	900000	-20268	20268	11885	1014
['Sudeste, *, *']	2020-05-14	79	900000	-19134	19134	12942	1182
['Sudeste, *, *']	2020-05-15	80	900000	-24552	24552	9377	1116
['Sudeste, *, *']	2020-05-16	81	900000	-16830	16830	4897	1122
['Sudeste, *, *']	2020-05-17	82	900000	-6972	6972	3265	564
['Sudeste, *, *']	2020-05-18	83	900000	-4326	4326	2353	246
['Sudeste, *, *']	2020-05-19	84	900000	-17574	17574	9989	1944
['Sudeste, *, *']	2020-05-20	85	900000	-23184	23184	19220	1296
['Sudeste, *, *']	2020-05-21	86	900000	-23280	23280	11009	1170
['Sudeste, *, *']	2020-05-22	87	900000	-18792	18792	10376	1290
['Sudeste, *, *']	2020-05-23	88	900000	-22122	22122	14434	1632
['Sudeste, *, *']	2020-05-24	89	900000	-9618	9618	5718	708
['Sudeste, *, *']	2020-05-25	90	900000	-8784	8784	4204	342
['Sudeste, *, *']	2020-05-26	91	900000	-14352	14352	9830	1218
['Sudeste, *, *']	2020-05-27	92	900000	-20796	20796	18696	1734
['Sudeste, *, *']	2020-05-28	93	900000	-38292	38292	17789	1608
['Sudeste, *, *']	2020-05-29	94	900000	-34146	34146	21676	1770
['Sudeste, *, *']	2020-05-30	95	900000	-33516	33516	14620	1542
['Sudeste, *, *']	2020-05-31	96	900000	-15336	15336	6261	498
['Sudeste, *, *']	2020-06-01	97	900000	-9588	9588	3946	312
['Sudeste, *, *']	2020-06-02	98	900000	-41994	41994	16043	1962
['Sudeste, *, *']	2020-06-03	99	900000	-31128	31128	22129	1692
