Territory	Date	t	N	∆S(t)	∆I(t)	∆R(t)	∆D(t)
['Sudeste, *, *']	2020-02-25	0	900000	0	0	0	0
['Sudeste, *, *']	2020-02-26	1	900000	-6	6	0	0
['Sudeste, *, *']	2020-02-27	2	900000	0	0	0	0
['Sudeste, *, *']	2020-02-28	3	900000	0	0	0	0
['Sudeste, *, *']	2020-02-29	4	900000	-6	6	0	0
['Sudeste, *, *']	2020-03-01	5	900000	0	0	0	0
['Sudeste, *, *']	2020-03-02	6	900000	0	0	0	0
['Sudeste, *, *']	2020-03-03	7	900000	0	0	0	0
['Sudeste, *, *']	2020-03-04	8	900000	-6	6	0	0
['Sudeste, *, *']	2020-03-05	9	900000	-18	18	0	0
['Sudeste, *, *']	2020-03-06	10	900000	-24	24	0	0
['Sudeste, *, *']	2020-03-07	11	900000	-18	18	0	0
['Sudeste, *, *']	2020-03-08	12	900000	-18	18	0	0
['Sudeste, *, *']	2020-03-09	13	900000	0	0	0	0
['Sudeste, *, *']	2020-03-10	14	900000	-18	18	0	0
['Sudeste, *, *']	2020-03-11	15	900000	-66	66	4	0
['Sudeste, *, *']	2020-03-12	16	900000	-72	72	0	0
['Sudeste, *, *']	2020-03-13	17	900000	-84	84	0	0
['Sudeste, *, *']	2020-03-14	18	900000	-54	54	4	0
['Sudeste, *, *']	2020-03-15	19	900000	-426	426	0	0
['Sudeste, *, *']	2020-03-16	20	900000	-96	96	0	0
['Sudeste, *, *']	2020-03-17	21	900000	-72	72	0	6
['Sudeste, *, *']	2020-03-18	22	900000	-456	456	4	18
['Sudeste, *, *']	2020-03-19	23	900000	-276	276	14	0
['Sudeste, *, *']	2020-03-20	24	900000	-660	660	19	30
['Sudeste, *, *']	2020-03-21	25	900000	-378	378	14	36
['Sudeste, *, *']	2020-03-22	26	900000	-1032	1032	14	42
['Sudeste, *, *']	2020-03-23	27	900000	-684	684	0	48
['Sudeste, *, *']	2020-03-24	28	900000	-390	390	14	60
['Sudeste, *, *']	2020-03-25	29	900000	-312	312	54	48
['Sudeste, *, *']	2020-03-26	30	900000	-1140	1140	58	60
['Sudeste, *, *']	2020-03-27	31	900000	-1026	1026	68	60
['Sudeste, *, *']	2020-03-28	32	900000	-1098	1098	44	96
['Sudeste, *, *']	2020-03-29	33	900000	-270	270	345	84
['Sudeste, *, *']	2020-03-30	34	900000	-396	396	77	90
['Sudeste, *, *']	2020-03-31	35	900000	-4932	4932	58	138
['Sudeste, *, *']	2020-04-01	36	900000	-3852	3852	370	168
['Sudeste, *, *']	2020-04-02	37	900000	-3150	3150	226	144
['Sudeste, *, *']	2020-04-03	38	900000	-3252	3252	537	186
['Sudeste, *, *']	2020-04-04	39	900000	-2508	2508	308	246
['Sudeste, *, *']	2020-04-05	40	900000	-924	924	838	90
['Sudeste, *, *']	2020-04-06	41	900000	-1476	1476	554	174
['Sudeste, *, *']	2020-04-07	42	900000	-4896	4896	318	402
['Sudeste, *, *']	2020-04-08	43	900000	-6156	6156	262	342
['Sudeste, *, *']	2020-04-09	44	900000	-4632	4632	933	408
['Sudeste, *, *']	2020-04-10	45	900000	-4416	4416	842	264
['Sudeste, *, *']	2020-04-11	46	900000	-1218	1218	897	120
['Sudeste, *, *']	2020-04-12	47	900000	-2016	2016	278	168
['Sudeste, *, *']	2020-04-13	48	900000	-840	840	334	120
['Sudeste, *, *']	2020-04-14	49	900000	-2856	2856	4005	522
['Sudeste, *, *']	2020-04-15	50	900000	-10032	10032	3184	498
['Sudeste, *, *']	2020-04-16	51	900000	-3150	3150	2591	450
['Sudeste, *, *']	2020-04-17	52	900000	-7638	7638	2727	450
['Sudeste, *, *']	2020-04-18	53	900000	-6318	6318	2085	378
['Sudeste, *, *']	2020-04-19	54	900000	-2238	2238	893	144
['Sudeste, *, *']	2020-04-20	55	900000	-1878	1878	1291	132
['Sudeste, *, *']	2020-04-21	56	900000	-4830	4830	4021	336
['Sudeste, *, *']	2020-04-22	57	900000	-3174	3174	5033	246
['Sudeste, *, *']	2020-04-23	58	900000	-4956	4956	3915	1266
