Territory	Date	t	N	S(t)	C(t)	I(t)	R(t)	D(t)
['*, *, *']	2020-05-24	89	211755692	211130143	625549	329601	255871	40077
['*, *, *']	2020-05-25	90	211755692	211095304	660388	349218	269189	41981
['*, *, *']	2020-05-26	91	211755692	211060553	695139	364195	287064	43880
['*, *, *']	2020-05-27	92	211755692	211025985	729707	374969	308960	45778
['*, *, *']	2020-05-28	93	211755692	210988482	767210	386449	333048	47713
['*, *, *']	2020-05-29	94	211755692	210949616	806076	400610	355790	49676
['*, *, *']	2020-05-30	95	211755692	210906373	849319	423944	373785	51590
['*, *, *']	2020-05-31	96	211755692	210863498	892194	444951	393794	53449
['*, *, *']	2020-06-01	97	211755692	210820007	935685	460090	420284	55311
['*, *, *']	2020-06-02	98	211755692	210772065	983627	474624	451739	57264
['*, *, *']	2020-06-03	99	211755692	210722441	1033251	489320	484676	59255
['*, *, *']	2020-06-04	100	211755692	210671833	1083859	503843	518685	61331
['*, *, *']	2020-06-05	101	211755692	210619732	1135960	522324	550239	63397
['*, *, *']	2020-06-06	102	211755692	210570043	1185649	543705	576502	65442
['*, *, *']	2020-06-07	103	211755692	210518961	1236731	569668	599574	67489
['*, *, *']	2020-06-08	104	211755692	210467200	1288492	593532	625389	69571
['*, *, *']	2020-06-09	105	211755692	210415584	1340108	610048	658458	71602
['*, *, *']	2020-06-10	106	211755692	210361681	1394011	619497	700867	73647
['*, *, *']	2020-06-11	107	211755692	210308809	1446883	622660	748600	75623
['*, *, *']	2020-06-12	108	211755692	210258026	1497666	622520	797613	77533
['*, *, *']	2020-06-13	109	211755692	210208093	1547599	633466	834675	79458
['*, *, *']	2020-06-14	110	211755692	210158429	1597263	652245	863590	81428
['*, *, *']	2020-06-15	111	211755692	210106746	1648946	659244	906338	83364
['*, *, *']	2020-06-16	112	211755692	210053413	1702279	660304	956628	85347
['*, *, *']	2020-06-17	113	211755692	210000978	1754714	657882	1009518	87314
['*, *, *']	2020-06-18	114	211755692	209949415	1806277	652725	1064271	89281
['*, *, *']	2020-06-19	115	211755692	209888907	1866785	663478	1111974	91333
['*, *, *']	2020-06-20	116	211755692	209826133	1929559	686854	1149284	93421
['*, *, *']	2020-06-21	117	211755692	209763505	1992187	712503	1184182	95502
['*, *, *']	2020-06-22	118	211755692	209700299	2055393	728111	1229701	97581
['*, *, *']	2020-06-23	119	211755692	209636389	2119303	732987	1286641	99675
['*, *, *']	2020-06-24	120	211755692	209569591	2186101	742971	1341384	101746
['*, *, *']	2020-06-25	121	211755692	209498048	2257644	764214	1389630	103800
['*, *, *']	2020-06-26	122	211755692	209429778	2325914	788267	1431846	105801
['*, *, *']	2020-06-27	123	211755692	209359240	2396452	818320	1470321	107811
['*, *, *']	2020-06-28	124	211755692	209283954	2471738	849741	1512176	109821
['*, *, *']	2020-06-29	125	211755692	209210052	2545640	865081	1568730	111829
['*, *, *']	2020-06-30	126	211755692	209136139	2619553	876703	1629038	113812
['*, *, *']	2020-07-01	127	211755692	209060676	2695016	893107	1686123	115786
['*, *, *']	2020-07-02	128	211755692	208984349	2771343	892952	1760605	117786
['*, *, *']	2020-07-03	129	211755692	208908611	2847081	897164	1830067	119850
['*, *, *']	2020-07-04	130	211755692	208834102	2921590	925046	1874622	121922
['*, *, *']	2020-07-05	131	211755692	208761448	2994244	950329	1919930	123985
['*, *, *']	2020-07-06	132	211755692	208688036	3067656	960299	1981324	126033
['*, *, *']	2020-07-07	133	211755692	208612557	3143135	960650	2054406	128079
['*, *, *']	2020-07-08	134	211755692	208537428	3218264	957497	2130613	130154
['*, *, *']	2020-07-09	135	211755692	208462811	3292881	952891	2207776	132214
['*, *, *']	2020-07-10	136	211755692	208387705	3367987	954253	2279434	134300
['*, *, *']	2020-07-11	137	211755692	208311992	3443700	965941	2341406	136353
['*, *, *']	2020-07-12	138	211755692	208237054	3518638	986237	2393982	138419
['*, *, *']	2020-07-13	139	211755692	208162570	3593122	997469	2455127	140526
['*, *, *']	2020-07-14	140	211755692	208089496	3666196	988257	2535309	142630
['*, *, *']	2020-07-15	141	211755692	208017645	3738047	975139	2618146	144762
['*, *, *']	2020-07-16	142	211755692	207945493	3810199	966439	2696840	146920
['*, *, *']	2020-07-17	143	211755692	207876110	3879582	963488	2767066	149028
['*, *, *']	2020-07-18	144	211755692	207809419	3946273	972239	2822923	151111
['*, *, *']	2020-07-19	145	211755692	207742763	4012929	984172	2875537	153220
['*, *, *']	2020-07-20	146	211755692	207676042	4079650	978742	2945594	155314
['*, *, *']	2020-07-21	147	211755692	207607906	4147786	959861	3030512	157413
['*, *, *']	2020-07-22	148	211755692	207532576	4223116	949550	3114047	159519
['*, *, *']	2020-07-23	149	211755692	207453441	4302251	944483	3196143	161625
['*, *, *']	2020-07-24	150	211755692	207368208	4387484	955356	3268394	163734
['*, *, *']	2020-07-25	151	211755692	207276532	4479160	987866	3325372	165922
['*, *, *']	2020-07-26	152	211755692	207185478	4570214	1025797	3376344	168073
['*, *, *']	2020-07-27	153	211755692	207092495	4663197	1051825	3441172	170200
['*, *, *']	2020-07-28	154	211755692	206997492	4758200	1065414	3520483	172303
['*, *, *']	2020-07-29	155	211755692	206905548	4850144	1075135	3600624	174385
['*, *, *']	2020-07-30	156	211755692	206813490	4942202	1091727	3674043	176432
['*, *, *']	2020-07-31	157	211755692	206722564	5033128	1121456	3733161	178511
['*, *, *']	2020-08-01	158	211755692	206633407	5122285	1158505	3783245	180535
['*, *, *']	2020-08-02	159	211755692	206543939	5211753	1193826	3835389	182538
['*, *, *']	2020-08-03	160	211755692	206456346	5299346	1205967	3908840	184539
['*, *, *']	2020-08-04	161	211755692	206368457	5387235	1186837	4013852	186546
['*, *, *']	2020-08-05	162	211755692	206280859	5474833	1160319	4125933	188581
['*, *, *']	2020-08-06	163	211755692	206193600	5562092	1141255	4230172	190665
['*, *, *']	2020-08-07	164	211755692	206107234	5648458	1134180	4321582	192696
['*, *, *']	2020-08-08	165	211755692	206019205	5736487	1155189	4386590	194708
['*, *, *']	2020-08-09	166	211755692	205931689	5824003	1183473	4443808	196722
['*, *, *']	2020-08-10	167	211755692	205842921	5912771	1188817	4525170	198784
['*, *, *']	2020-08-11	168	211755692	205755888	5999804	1173153	4625827	200824
['*, *, *']	2020-08-12	169	211755692	205668570	6087122	1154784	4729525	202813
['*, *, *']	2020-08-13	170	211755692	205580291	6175401	1141686	4828944	204771
['*, *, *']	2020-08-14	171	211755692	205492101	6263591	1145297	4911585	206709
['*, *, *']	2020-08-15	172	211755692	205406961	6348731	1168983	4971143	208605
['*, *, *']	2020-08-16	173	211755692	205321340	6434352	1198661	5025173	210518
['*, *, *']	2020-08-17	174	211755692	205236784	6518908	1201672	5104824	212412
['*, *, *']	2020-08-18	175	211755692	205152756	6602936	1180814	5207777	214345
['*, *, *']	2020-08-19	176	211755692	205070671	6685021	1153795	5314942	216284
['*, *, *']	2020-08-20	177	211755692	204993862	6761830	1127721	5415896	218213
['*, *, *']	2020-08-21	178	211755692	204921516	6834176	1108601	5505417	220158
['*, *, *']	2020-08-22	179	211755692	204846619	6909073	1115464	5571475	222134
['*, *, *']	2020-08-23	180	211755692	204772007	6983685	1132082	5627530	224073
['*, *, *']	2020-08-24	181	211755692	204697692	7058000	1125904	5706107	225989
['*, *, *']	2020-08-25	182	211755692	204623860	7131832	1096875	5807088	227869
['*, *, *']	2020-08-26	183	211755692	204550369	7205323	1059389	5916211	229723
['*, *, *']	2020-08-27	184	211755692	204477263	7278429	1029603	6017329	231497
['*, *, *']	2020-08-28	185	211755692	204400843	7354849	1024061	6097570	233218
['*, *, *']	2020-08-29	186	211755692	204327638	7428054	1035906	6157226	234922
['*, *, *']	2020-08-30	187	211755692	204255749	7499943	1052809	6210488	236646
['*, *, *']	2020-08-31	188	211755692	204176186	7579506	1057881	6283274	238351
['*, *, *']	2020-09-01	189	211755692	204097174	7658518	1043717	6374760	240041
['*, *, *']	2020-09-02	190	211755692	204018654	7737038	1033357	6461917	241764
['*, *, *']	2020-09-03	191	211755692	203938472	7817220	1033984	6539774	243462
['*, *, *']	2020-09-04	192	211755692	203859845	7895847	1033135	6617558	245154
['*, *, *']	2020-09-05	193	211755692	203781372	7974320	1045233	6682287	246800
['*, *, *']	2020-09-06	194	211755692	203703739	8051953	1068888	6734648	248417
['*, *, *']	2020-09-07	195	211755692	203637696	8117996	1061240	6806809	249947
['*, *, *']	2020-09-08	196	211755692	203578706	8176986	1029257	6896431	251298
['*, *, *']	2020-09-09	197	211755692	203522348	8233344	996146	6984559	252639
['*, *, *']	2020-09-10	198	211755692	203467674	8288018	963949	7070057	254012
['*, *, *']	2020-09-11	199	211755692	203412531	8343161	943541	7144236	255384
['*, *, *']	2020-09-12	200	211755692	203358382	8397310	938533	7201975	256802
['*, *, *']	2020-09-13	201	211755692	203304269	8451423	921152	7272058	258213
['*, *, *']	2020-09-14	202	211755692	203247038	8508654	891769	7357227	259658
['*, *, *']	2020-09-15	203	211755692	203185485	8570207	864547	7444396	261264
['*, *, *']	2020-09-16	204	211755692	203123892	8631800	835947	7533042	262811
['*, *, *']	2020-09-17	205	211755692	203064105	8691587	813144	7614128	264315
['*, *, *']	2020-09-18	206	211755692	203004225	8751467	803318	7682322	265827
['*, *, *']	2020-09-19	207	211755692	202944655	8811037	812673	7731048	267316
['*, *, *']	2020-09-20	208	211755692	202884733	8870959	840401	7761769	268789
['*, *, *']	2020-09-21	209	211755692	202825704	8929988	859923	7799799	270266
['*, *, *']	2020-09-22	210	211755692	202766826	8988866	855835	7861377	271654
['*, *, *']	2020-09-23	211	211755692	202708959	9046733	835515	7938177	273041
['*, *, *']	2020-09-24	212	211755692	202651749	9103943	813305	8016216	274422
['*, *, *']	2020-09-25	213	211755692	202597209	9158483	799006	8083690	275787
['*, *, *']	2020-09-26	214	211755692	202544057	9211635	804081	8130391	277163
['*, *, *']	2020-09-27	215	211755692	202491368	9264324	812575	8173212	278537
['*, *, *']	2020-09-28	216	211755692	202438803	9316889	803952	8233048	279889
['*, *, *']	2020-09-29	217	211755692	202386592	9369100	783978	8303858	281264
['*, *, *']	2020-09-30	218	211755692	202334572	9421120	762148	8376355	282617
['*, *, *']	2020-10-01	219	211755692	202281442	9474250	740551	8449704	283995
['*, *, *']	2020-10-02	220	211755692	202228167	9527525	728145	8514055	285325
['*, *, *']	2020-10-03	221	211755692	202175346	9580346	734959	8558770	286617
['*, *, *']	2020-10-04	222	211755692	202124036	9631656	748757	8594991	287908
['*, *, *']	2020-10-05	223	211755692	202070160	9685532	750993	8645344	289195
['*, *, *']	2020-10-06	224	211755692	202016807	9738885	740325	8708088	290472
['*, *, *']	2020-10-07	225	211755692	201964505	9791187	727689	8771807	291691
['*, *, *']	2020-10-08	226	211755692	201913923	9841769	714548	8834327	292894
['*, *, *']	2020-10-09	227	211755692	201864736	9890956	708187	8888671	294098
['*, *, *']	2020-10-10	228	211755692	201815324	9940368	716395	8928686	295287
