t	gamma	gamma_r	gamma_d	beta	N	S	S_	I	I_	R	R_	D	D_	∆S(t)	∆S_(t)	∆I(t)	∆I_(t)	∆R(t)	∆R_(t)	∆D(t)	∆D_(t)
14	0.030605544582797926	0.020403696388531952	0.010201848194265976	0.07140848047164947	10000.0	9976.894776325635	9976.894776325582	17.479386205589044	17.479386205616432	3.750558312518765	3.7505583125334456	1.8752791562593825	1.8752791562667228	-1.1968039135426807	-1.1968039135453068	0.6827309350995634	0.682730935090009	0.34271531896944474	0.34271531897019847	0.17135765948472237	0.17135765948509923
15	0.030605408501641423	0.02040360566776095	0.010201802833880474	0.07140798187753121	10000.0	9975.649483856627	9975.649483856572	18.189712540772245	18.189712540830275	4.107202401715497	4.107202401730737	2.0536012008577487	2.0536012008653683	-1.2452924690078362	-1.245292469009781	0.7103263351832005	0.7103263352138443	0.3566440891967324	0.35664408919729124	0.1783220445983662	0.17832204459864562
16	0.030605266910620606	0.02040351127374707	0.010201755636873535	0.07140746311641333	10000.0	9974.353756058965	9974.353756058907	18.928736755595953	18.9287367556569	4.47833812360734	4.478338123623764	2.23916906180367	2.239169061811882	-1.295727797662039	-1.2957277976661654	0.7390242148237078	0.7390242148266248	0.37113572189184296	0.371135721893027	0.18556786094592148	0.1855678609465135
17	0.0306051195888057	0.0204034130592038	0.0102017065296019	0.0714069233823088	10000.0	9973.00556946969	9973.005569469628	19.697604304203367	19.697604304248905	4.864550817397933	4.8645508174156	2.4322754086989664	2.4322754087078	-1.3481865892754286	-1.3481865892797618	0.7688675486074139	0.7688675485920076	0.38621269379059253	0.3862126937918361	0.19310634689529627	0.19310634689591805
18	0.030604966306587586	0.02040331087105839	0.010201655435529195	0.07140636183468688	10000.0	9971.60282103732	9971.602821037255	20.49750520123405	20.497505201276383	5.266449174293345	5.266449174311941	2.6332245871466724	2.6332245871559703	-1.4027484323687531	-1.4027484323719874	0.7999008970306818	0.7999008970274757	0.401898356895412	0.4018983568963411	0.200949178447706	0.20094917844817056
19	0.030604806825354963	0.020403204550236642	0.010201602275118321	0.07140577760264014	10000.0	9970.143325123767	9970.143325123698	21.329675658732267	21.329675658779056	5.684666144995259	5.6846661450147185	2.8423330724976297	2.8423330725073592	-1.4594959135538375	-1.4594959135568424	0.8321704574982185	0.8321704575026749	0.41821697070191455	0.4182169707027783	0.20910848535095727	0.20910848535138915
20	0.030604640897152105	0.020403093931434736	0.010201546965717368	0.07140516978063811	10000.0	9968.624810404266	9968.624810404193	22.19539977503707	22.19539977509864	6.119859880450577	6.119859880470991	3.0599299402252886	3.0599299402354956	-1.518514719500672	-1.5185147195039927	0.8657241163048042	0.8657241163195839	0.4351937354553179	0.4351937354562726	0.21759686772765896	0.2175968677281363
21	0.030604468264331025	0.02040297884288735	0.010201489421443674	0.07140453742665151	10000.0	9967.044916663011	9967.044916662935	23.096011276588868	23.096011276672023	6.572714706906404	6.572714706928074	3.286357353453202	3.286357353464037	-1.5798937412546366	-1.5798937412590075	0.900611501551797	0.9006115015733831	0.45285482645582675	0.45285482645708297	0.22642741322791338	0.22642741322854149
22	0.03060428865919581	0.02040285910613054	0.01020142955306527	0.07140387956661118	10000.0	9965.401191481935	9965.401191481853	24.032895313534326	24.03289531360505	7.043942136337734	7.043942136361101	3.521971068168867	3.5219710681805503	-1.643725181076661	-1.6437251810825666	0.9368840369454574	0.9368840369330262	0.47122742943133034	0.4712274294330269	0.23561371471566517	0.23561371471651346
23	0.030604101803628894	0.020402734535752597	0.010201367267876299	0.07140319518700729	10000.0	9963.691086820058	9963.69108681997	25.007490309948075	25.007490309993532	7.53428191333216	7.53428191335697	3.76714095666608	3.767140956678485	-1.710104661877267	-1.7101046618822853	0.9745949964137495	0.9745949963884821	0.49033977699442577	0.4903397769958688	0.24516988849721288	0.2451698884979344
